"TypeRapport","Origine","TaskID","Fichier","FichierOrigine","Lignes","DateFichier","DateCollecte","Empreinte","CheminCopie","CheminOrigine"
"ItemReport","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","ItemReport_3603ab476cf9.csv","ItemReport_R1.csv","616","2026-09-17T07:55:18","2026-09-17T07:58:09","3603ab476cf9b264a282a057c9f1ed008d0e73fd25baed6f0bd6473929bfa39b","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\ItemReport_3603ab476cf9.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!ItemReport_R1.csv"
"ItemFailureReport","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","ItemFailureReport_3429da2f6caf.csv","ItemFailureReport_R1.csv","5","2026-09-17T07:55:18","2026-09-17T07:58:09","3429da2f6cafa6ffae3316786e2afd1586f4dcc4ac0ebeb9bded4db95856165c","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\ItemFailureReport_3429da2f6caf.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!ItemFailureReport_R1.csv"
"ScanSummary","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","ScanSummary_e9bd8099ae92.csv","ScanSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","e9bd8099ae926495e84657014145c772b07ef656e2a6844b8b93be59b6467852","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\ScanSummary_e9bd8099ae92.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!ScanSummary_R1.csv"
"ItemSummary","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","ItemSummary_08a7e03fbe82.csv","ItemSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","08a7e03fbe82eb701f0cbea9997c89795ff63c54ca09dd9682655fd29b7ee068","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\ItemSummary_08a7e03fbe82.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!ItemSummary_R1.csv"
"StructureReport","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","StructureReport_6438aaeb4c16.csv","StructureReport_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","6438aaeb4c1697df2895ef18ba600a489267b6f294a9970597e40ebd581bb0a2","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\StructureReport_6438aaeb4c16.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!StructureReport_R1.csv"
"ItemReport","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","ItemReport_afa87ba7ed57.csv","ItemReport_R2.csv","5","2026-09-17T07:55:18","2026-09-17T07:58:09","afa87ba7ed57a5d5508348a378100f2ca3109b76d5a4c76032cdeaaceff8259d","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\ItemReport_afa87ba7ed57.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!ItemReport_R2.csv"
"ItemFailureReport","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","ItemFailureReport_6cc21e167db5.csv","ItemFailureReport_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","6cc21e167db5dc0a42522a8e6b3175eacfb33fb48d89e6de32b51541d69c4575","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\ItemFailureReport_6cc21e167db5.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!ItemFailureReport_R2.csv"
"ScanSummary","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","ScanSummary_1480bcb07295.csv","ScanSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","1480bcb07295313551723b0d5a192e58298536781ea23b10fd9757efc8e38fce","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\ScanSummary_1480bcb07295.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!ScanSummary_R2.csv"
"ItemSummary","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","ItemSummary_c57b4d0b2d8d.csv","ItemSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","c57b4d0b2d8d29668714f9618e6d139fc1e0da1db509dda91694baef87419d77","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\ItemSummary_c57b4d0b2d8d.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!ItemSummary_R2.csv"
"StructureReport","Téléchargement","6513270e-269e-0d37-f2a7-4de452e6b438","StructureReport_797f4cb754b8.csv","StructureReport_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","797f4cb754b80d7dab7267d058bee552a26e4cd5b18672259cc2d223cfc8efc4","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6513270e-269e-0d37-f2a7-4de452e6b438\StructureReport_797f4cb754b8.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Clients_6513270e.zip!StructureReport_R2.csv"
"ItemReport","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","ItemReport_1cc52c4bfce4.csv","ItemReport_R1.csv","52","2026-09-17T07:55:18","2026-09-17T07:58:09","1cc52c4bfce40b4d361e478d9189ece13343fda6c5aa6d06dd7e81a186efccfd","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\ItemReport_1cc52c4bfce4.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!ItemReport_R1.csv"
"ItemFailureReport","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","ItemFailureReport_c140afeb6e13.csv","ItemFailureReport_R1.csv","3","2026-09-17T07:55:18","2026-09-17T07:58:09","c140afeb6e1399e517e1fa1d3569b295abe0182605b09cb83385a2c2bb6c136e","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\ItemFailureReport_c140afeb6e13.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!ItemFailureReport_R1.csv"
"ScanSummary","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","ScanSummary_a43d00f33c5a.csv","ScanSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","a43d00f33c5acdd399528c3907b8bce0900ede7e5e86d026f117f3864f607122","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\ScanSummary_a43d00f33c5a.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!ScanSummary_R1.csv"
"ItemSummary","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","ItemSummary_426eab48114f.csv","ItemSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","426eab48114fa0d000eb7217486c1d6f48c9d82d704b69037e9cfbddbf9bca5f","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\ItemSummary_426eab48114f.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!ItemSummary_R1.csv"
"StructureReport","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","StructureReport_333fca42da1c.csv","StructureReport_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","333fca42da1c4798bb110d44580dbe5f6873917aa0148ad590462531be188415","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\StructureReport_333fca42da1c.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!StructureReport_R1.csv"
"ItemReport","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","ItemReport_2b2aed231427.csv","ItemReport_R2.csv","3","2026-09-17T07:55:18","2026-09-17T07:58:09","2b2aed2314271df848207473efb0ef38f9998e994ca9f9962e1998ba77d8bfcd","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\ItemReport_2b2aed231427.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!ItemReport_R2.csv"
"ItemFailureReport","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","ItemFailureReport_2b2aed231427.csv","ItemFailureReport_R2.csv","3","2026-09-17T07:55:18","2026-09-17T07:58:09","2b2aed2314271df848207473efb0ef38f9998e994ca9f9962e1998ba77d8bfcd","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\ItemFailureReport_2b2aed231427.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!ItemFailureReport_R2.csv"
"ScanSummary","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","ScanSummary_66dc62bebb37.csv","ScanSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","66dc62bebb37f005438318e27d9022523cb9c98c0ab803113894952b5cbcaef0","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\ScanSummary_66dc62bebb37.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!ScanSummary_R2.csv"
"ItemSummary","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","ItemSummary_34eb4402f934.csv","ItemSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","34eb4402f934e8d95023d346503af80ab31bdbaf640ffb55233e674b69a15154","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\ItemSummary_34eb4402f934.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!ItemSummary_R2.csv"
"StructureReport","Téléchargement","6b0d549b-6f03-675a-1600-a35a099950d8","StructureReport_c64fe198957f.csv","StructureReport_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","c64fe198957f96fa0d5b437fe573de81a37e49890888c7a5a37151c36a0c6d29","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\6b0d549b-6f03-675a-1600-a35a099950d8\StructureReport_c64fe198957f.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Commun_6b0d549b.zip!StructureReport_R2.csv"
"ItemReport","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","ItemReport_55a323d95228.csv","ItemReport_R1.csv","38","2026-09-17T07:55:18","2026-09-17T07:58:09","55a323d952283423668f017d0d593ddda4c113775ad4cc7e65d43123abab796a","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\ItemReport_55a323d95228.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!ItemReport_R1.csv"
"ItemFailureReport","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","ItemFailureReport_c8781c717805.csv","ItemFailureReport_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","c8781c7178050b27c041a5416c958ad1b74bc632e1dd8ec369cc69a42d5b9377","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\ItemFailureReport_c8781c717805.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!ItemFailureReport_R1.csv"
"ScanSummary","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","ScanSummary_610753992e16.csv","ScanSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","610753992e1645e84e7d6d4de108cf44c2332106addddbae406d5db57ddf17c5","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\ScanSummary_610753992e16.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!ScanSummary_R1.csv"
"ItemSummary","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","ItemSummary_854ef850ce55.csv","ItemSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","854ef850ce55bf7a5eb2ccf83fcd11de259ea0ad3a5a9a737c192bde3853ca54","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\ItemSummary_854ef850ce55.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!ItemSummary_R1.csv"
"StructureReport","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","StructureReport_1c195056c70c.csv","StructureReport_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","1c195056c70cf63a9c92323aaf7c2d767f7f8f11893108287da722b192484835","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\StructureReport_1c195056c70c.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!StructureReport_R1.csv"
"ItemReport","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","ItemReport_a8746c77316a.csv","ItemReport_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","a8746c77316a8258cc7f2ab63219a39a7fa6b65e7675cfca441ad5b1a22305e9","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\ItemReport_a8746c77316a.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!ItemReport_R2.csv"
"ItemFailureReport","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","ItemFailureReport_a8746c77316a.csv","ItemFailureReport_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","a8746c77316a8258cc7f2ab63219a39a7fa6b65e7675cfca441ad5b1a22305e9","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\ItemFailureReport_a8746c77316a.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!ItemFailureReport_R2.csv"
"ScanSummary","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","ScanSummary_586b86810283.csv","ScanSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","586b868102836d2bd93ea95c0b357e4eda827645cf3024fb4f98d4d1d5a7c8c0","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\ScanSummary_586b86810283.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!ScanSummary_R2.csv"
"ItemSummary","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","ItemSummary_3571a2bd091e.csv","ItemSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","3571a2bd091ebf726db3b4ba44414fc438cd86c48ae3b4e22e0b35356fba21b8","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\ItemSummary_3571a2bd091e.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!ItemSummary_R2.csv"
"StructureReport","Téléchargement","36f675cc-81e7-4ef5-e8e2-5d940ed90475","StructureReport_1c23699a1bdc.csv","StructureReport_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","1c23699a1bdcbb3a82ffbd45ab69d12ef3cde52b15c9324c55f185c07e20a3cb","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\36f675cc-81e7-4ef5-e8e2-5d940ed90475\StructureReport_1c23699a1bdc.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Direction_36f675cc.zip!StructureReport_R2.csv"
"ItemReport","Téléchargement","9531985d-5d9d-c9f8-1818-e811892f902b","ItemReport_9799e9e91f42.csv","ItemReport_R1.csv","55","2026-09-17T07:55:18","2026-09-17T07:58:09","9799e9e91f42b95821b6b37f050ce163c799c57ee3d5bb123b0f64563166328a","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\9531985d-5d9d-c9f8-1818-e811892f902b\ItemReport_9799e9e91f42.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Finance_9531985d.zip!ItemReport_R1.csv"
"ScanSummary","Téléchargement","9531985d-5d9d-c9f8-1818-e811892f902b","ScanSummary_3cec0d61bbe8.csv","ScanSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","3cec0d61bbe865a13a18b0db6418a024f73db5af8d41f4ea1441670e0db2d829","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\9531985d-5d9d-c9f8-1818-e811892f902b\ScanSummary_3cec0d61bbe8.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Finance_9531985d.zip!ScanSummary_R1.csv"
"ItemSummary","Téléchargement","9531985d-5d9d-c9f8-1818-e811892f902b","ItemSummary_4c5bbab27d7f.csv","ItemSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","4c5bbab27d7f32ca56bcaca0c775468d7c1ec552f766a62a78f0e7d7c1e30c63","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\9531985d-5d9d-c9f8-1818-e811892f902b\ItemSummary_4c5bbab27d7f.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Finance_9531985d.zip!ItemSummary_R1.csv"
"StructureReport","Téléchargement","9531985d-5d9d-c9f8-1818-e811892f902b","StructureReport_20988f991214.csv","StructureReport_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","20988f9912144034c50288ba36779f942452f763bbef4658ae93c2097537da06","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\9531985d-5d9d-c9f8-1818-e811892f902b\StructureReport_20988f991214.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Finance_9531985d.zip!StructureReport_R1.csv"
"ItemReport","Téléchargement","9531985d-5d9d-c9f8-1818-e811892f902b","ItemReport_9ec4a4e2c7c5.csv","ItemReport_R2.csv","0","2026-09-17T07:55:18","2026-09-17T07:58:09","9ec4a4e2c7c5994a46a0688d3ad7de0b670c69894f665d820b4edd03e9ad1391","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\9531985d-5d9d-c9f8-1818-e811892f902b\ItemReport_9ec4a4e2c7c5.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Finance_9531985d.zip!ItemReport_R2.csv"
"ScanSummary","Téléchargement","9531985d-5d9d-c9f8-1818-e811892f902b","ScanSummary_60d0ddf2e515.csv","ScanSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","60d0ddf2e5158732dfb1ce507296b9b5af8ae5083a6d6037b984b36313ae0652","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\9531985d-5d9d-c9f8-1818-e811892f902b\ScanSummary_60d0ddf2e515.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Finance_9531985d.zip!ScanSummary_R2.csv"
"ItemSummary","Téléchargement","9531985d-5d9d-c9f8-1818-e811892f902b","ItemSummary_674983aeba3f.csv","ItemSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","674983aeba3f70066c9a39fc681e764a306d777f86dd7e191af461ec72b484fa","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\9531985d-5d9d-c9f8-1818-e811892f902b\ItemSummary_674983aeba3f.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Finance_9531985d.zip!ItemSummary_R2.csv"
"StructureReport","Téléchargement","9531985d-5d9d-c9f8-1818-e811892f902b","StructureReport_c6c6deae614e.csv","StructureReport_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","c6c6deae614e6238610544688f79cadaefe41d6cf8c4d53933f7294b5d5e5705","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\9531985d-5d9d-c9f8-1818-e811892f902b\StructureReport_c6c6deae614e.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Finance_9531985d.zip!StructureReport_R2.csv"
"ItemReport","Téléchargement","d23f0824-128b-2f33-0c5c-7fd0a6a3a450","ItemReport_4dc67a879b06.csv","ItemReport_R1.csv","365","2026-09-17T07:55:18","2026-09-17T07:58:09","4dc67a879b06747b267430459c550a55f6174b179de9e13aba2d44553040caa9","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\d23f0824-128b-2f33-0c5c-7fd0a6a3a450\ItemReport_4dc67a879b06.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_RH_d23f0824.zip!ItemReport_R1.csv"
"ScanSummary","Téléchargement","d23f0824-128b-2f33-0c5c-7fd0a6a3a450","ScanSummary_71e8b8f25e4e.csv","ScanSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","71e8b8f25e4e9d86ff4a885feab5c7f0259ea8c2f900056e47e6403fea445348","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\d23f0824-128b-2f33-0c5c-7fd0a6a3a450\ScanSummary_71e8b8f25e4e.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_RH_d23f0824.zip!ScanSummary_R1.csv"
