"Code","Ordre","Categorie","Gravite","Libelle","Regle","Action"
"PARTAGE_50000","30","Volumétrie","Information","Dossier de plus de 50 000 sous-éléments","Un dossier de plus de 50 000 éléments ne peut pas être partagé.","Partager à un niveau inférieur."
"BIBLIO_100K","31","Volumétrie","À traiter","Bibliothèque de plus de 100 000 éléments","Au-delà, l'héritage des autorisations de la bibliothèque ne peut plus être rompu.","Répartir sur plusieurs bibliothèques ou sites."
"BIBLIO_300K","32","Volumétrie","À traiter","Bibliothèque de plus de 300 000 éléments","Recommandation Microsoft pour la synchronisation OneDrive.","Découper, ou déconseiller la synchronisation."
"PERM_UNIQUES_5000","33","Volumétrie","À traiter","Plus de 5 000 permissions uniques","Recommandation : 5 000 permissions uniques par bibliothèque.","Simplifier le modèle de droits."
"PERM_UNIQUES_50000","34","Volumétrie","Bloquant","Plus de 50 000 permissions uniques","Limite dure : 50 000 permissions uniques par bibliothèque.","Refondre le modèle de droits avant migration."
"QUOTA","35","Volumétrie","Bloquant","Volume supérieur au stockage disponible","Volume source comparé au paramètre -QuotaDisponibleGo.","Trier les données ou acheter du stockage."
"ANCIEN","36","Nettoyage (ROT)","Information","Non modifié depuis plus de 5 ans","Donnée potentiellement obsolète (Redundant, Obsolete, Trivial).","Archiver ou supprimer après validation métier."
"FICHIER_VIDE","37","Nettoyage (ROT)","Information","Fichier vide (0 octet)","Migrable, mais sans contenu.","Supprimer si inutile."
"TEMPORAIRE","38","Nettoyage (ROT)","À traiter","Fichier temporaire",".tmp, ~*.tmp, .temp : non synchronisés, sans valeur.","Supprimer ou exclure."
"EXECUTABLE","39","Nettoyage (ROT)","Information","Exécutable ou script",".exe .msi .bat .cmd .ps1 .vbs .dll .com .scr","Valider le besoin ; souvent à ne pas migrer."
"DOUBLON","40","Nettoyage (ROT)","Information","Contenu en doublon","Même empreinte SHA-256 qu'un autre fichier (option -AvecHash).","Dédoublonner avant migration."
